slot,reading,dialogue_uses,bigrams (count)
0x0060,待,8,待人(1)  招待(1)  待回(1)  待了(1)  可待(1)  待在(1)  待過(1)  特待(1)  待自(1)  對待(1)
0x0065,汪,6,
0x0067,居,14,居住(6)  居然(6)  在居(3)  我居(2)  你居(1)  這居(1)  居高(1)  為居(1)  合居(1)  們居(1)
0x006a,跟,15,跟我(7)  跟你(4)  我跟(2)  在跟(2)  跟姊(1)  快跟(1)  跟著(1)  想跟(1)  跟隨(1)  能跟(1)
0x006b,穆,15,穆古(14)  的穆(3)  是穆(3)  過穆(2)  回穆(1)  從穆(1)  在穆(1)  到穆(1)  得穆(1)  穆的(1)
0x006f,充,8,充滿(2)  補充(2)  擴充(2)  處充(1)  充裝(1)  個充(1)  充足(1)  很充(1)  充能(1)  填充(1)
0x0070,滿,5,充滿(2)  滿活(1)  已滿(1)  滿野(1)  滿腦(1)  後滿(1)  不滿(1)
0x0071,活,18,生活(9)  活躍(2)  活真(2)  復活(2)  活在(2)  活力(1)  滿活(1)  然活(1)  活動(1)  的活(1)
0x0074,色,10,色的(4)  紅色(2)  角色(2)  藍色(2)  特色(1)  色聽(1)  色真(1)  景色(1)  色聖(1)  綠色(1)
0x007f,認,19,認識(10)  認為(4)  去認(2)  你認(2)  認同(2)  該認(1)  村認(1)  認出(1)  沒認(1)  都認(1)
0x0080,識,11,認識(10)  識的(3)  識大(2)  識你(2)  識他(1)  識貨(1)  是識(1)  識一(1)
0x0086,遇,16,遇到(14)  我遇(2)  有遇(2)  遇上(2)  是遇(2)  邊遇(1)  才遇(1)  林遇(1)  面遇(1)  也遇(1)
0x008c,毀,14,毀了(7)  物毀(3)  毀滅(3)  所毀(2)  被毀(2)  毀的(1)  而毀(1)  崩毀(1)  也毀(1)  毀整(1)
0x0091,木,8,巨木(3)  用木(2)  樹木(2)  木筏(1)  木了(1)  木材(1)  木頭(1)  木為(1)  之木(1)
0x0092,筏,1,筏逃(1)  木筏(1)
0x0093,逃,4,逃了(2)  人逃(2)  筏逃(1)  逃走(1)  快逃(1)  逃離(1)
0x0095,結,11,結果(4)  結束(3)  連結(3)  麼結(1)  有結(1)  爭結(1)  都結(1)  該結(1)  查結(1)  結各(1)
0x0097,浪,8,浪太(1)  風浪(1)  浪洶(1)  海浪(1)  浪旅(1)  流浪(1)  大浪(1)  波浪(1)  巨浪(1)  浪而(1)
0x0098,沖,1,沖散(1)  被沖(1)
0x0099,散,2,散了(1)  沖散(1)  散在(1)  分散(1)
0x009e,北,19,北方(14)  東北(6)  北邊(4)  西北(2)  到北(2)  在北(2)  北的(1)  子北(1)  說北(1)  往北(1)
0x00a1,火,11,火山(8)  的火(5)  去火(2)  為火(1)  火炎(1)  在火(1)  火也(1)  戰火(1)  火系(1)
0x00a3,灰,3,山灰(2)  灰的(1)  灰和(1)  灰塵(1)  成灰(1)
0x00a5,係,14,關係(14)  係啦(2)  係又(1)  係才(1)
0x00a7,植,1,植物(1)  動植(1)
0x00aa,存,11,存在(6)  生存(4)  已存(2)  是存(1)  道存(1)  物存(1)  存的(1)  存了(1)  近存(1)  存空(1)
0x00ab,既,11,既然(11)  我既(2)  克既(1)  你既(1)
0x00b0,歸,8,歸附(3)  可歸(1)  歸塵(1)  塵歸(1)  歸土(1)  土歸(1)  歸於(1)  能歸(1)  卡歸(1)  城歸(1)
0x00b2,迎,8,歡迎(8)  迎來(4)  迎你(3)  迎妳(1)
0x00b5,介,3,介紹(3)  去介(1)  我介(1)  他介(1)
0x00b6,紹,3,介紹(3)  紹給(2)
0x00b9,每,11,每一(3)  每個(3)  的每(2)  我每(2)  每天(2)  每星(1)  過每(1)  將每(1)  每年(1)  然每(1)
0x00ba,順,7,順便(3)  順利(3)  能順(2)  切順(2)  順完(1)  我順(1)
0x00c0,兩,14,兩個(8)  這兩(2)  了兩(2)  有兩(2)  們兩(1)  兩半(1)  成兩(1)  兩天(1)  證兩(1)  兩位(1)
0x00c1,談,9,談論(2)  談中(2)  會談(2)  談什(1)  在談(1)  不談(1)  談的(1)  好談(1)  空談(1)  談些(1)
0x00c3,吉,5,吉瑞(5)  和吉(2)
0x00c6,望,14,希望(10)  望能(4)  望無(2)  一望(2)  望他(1)  望不(1)  望原(1)  眺望(1)  願望(1)  望階(1)
0x00c9,隻,19,一隻(11)  隻怪(5)  隻小(4)  這隻(3)  隻很(2)  隻類(1)  隻蒼(1)  隻大(1)  隻風(1)  隻因(1)
0x00ca,狗,7,小狗(5)  狗只(1)  狗而(1)  狗被(1)  的狗(1)  狗都(1)  養狗(1)
0x00cb,陪,6,陪我(4)  有陪(1)  以陪(1)  陪那(1)  得陪(1)  陪你(1)  空陪(1)
0x00cd,靠,19,靠近(4)  靠你(4)  是靠(3)  須靠(3)  一靠(2)  為靠(2)  都靠(2)  靠像(2)  光靠(2)  靠艾(2)
0x00d0,姐,8,姐姐(4)  小姐(4)  姐是(1)  官姐(1)  姐常(1)  姐所(1)  姐也(1)
0x00d2,忙,17,幫忙(4)  個忙(4)  的忙(2)  忙的(2)  忙忙(2)  忙完(1)  事忙(1)  忙什(1)  在忙(1)  忙打(1)
0x00d4,哇,3,哇～(1)
0x00d5,～,11,哦～(4)  喔～(3)  呼～(3)  ～對(2)  ～呼(2)  哇～(1)  ～好(1)  ～那(1)  ～達(1)  ～沒(1)
0x00d6,救,11,救回(2)  邊救(2)  救了(2)  救世(2)  拯救(2)  救命(1)  救星(1)  好救(1)  術救(1)  救大(1)
0x00d8,啊,19,氣啊(2)  命啊(1)  人啊(1)  神啊(1)  有啊(1)  布啊(1)  啊為(1)  要啊(1)  我啊(1)  煩啊(1)
0x00d9,媽,11,媽媽(10)  媽說(4)  聽媽(1)  你媽(1)  叫媽(1)
0x00dd,製,15,製造(11)  製成(2)  粉製(2)  製作(2)  麼製(1)  然製(1)  我製(1)  妳製(1)  力製(1)  王製(1)
0x00df,送,15,送給(4)  送術(4)  傳送(4)  輸送(2)  送迪(1)  能送(1)  就送(1)  前送(1)  送上(1)  己送(1)
0x00e1,遭,11,遭到(3)  遭糕(2)  子遭(2)  遭了(2)  遭受(2)  也遭(1)  就遭(1)  越遭(1)  遭破(1)  一遭(1)
0x00e2,糕,3,糕了(2)  遭糕(2)  糟糕(1)
0x00e5,商,18,商人(15)  的商(6)  商量(2)  草商(2)  長商(1)  商店(1)  具商(1)  去商(1)  行商(1)  多商(1)
0x00e8,非,14,非常(8)  除非(3)  莫非(2)  非你(2)  非用(2)  都非(1)  非有(1)  非怪(1)  以非(1)  就非(1)
0x00ed,決,12,解決(8)  決了(4)  決定(2)  經決(1)  決的(1)  決心(1)  個決(1)  麼決(1)  決不(1)  堅決(1)
0x00ee,殺,12,殺了(6)  要殺(4)  你殺(2)  殺她(1)  會殺(1)  殺光(1)  殺死(1)  王殺(1)  然殺(1)  殺我(1)
0x00ef,勸,1,勸你(1)  我勸(1)
0x00f1,猶,2,猶豫(2)  再猶(1)  還猶(1)
0x00f2,豫,2,猶豫(2)  豫了(1)  豫什(1)
0x00f3,鮑,16,鮑伊(16)  到鮑(2)  去鮑(2)  聽鮑(1)  你鮑(1)  找鮑(1)  是鮑(1)
0x00f5,助,18,幫助(17)  助你(5)  助他(2)  助我(2)  助嗎(1)  助她(1)  助就(1)  助才(1)  助人(1)
0x00f7,變,10,變成(3)  變大(2)  改變(2)  經變(1)  也變(1)  變這(1)  會變(1)  漸變(1)  變一(1)  蛻變(1)
0x00fb,拜,13,拜託(11)  就拜(3)  去拜(3)  經拜(1)  要拜(1)  那拜(1)  拜訪(1)  拜會(1)
0x00fc,託,11,拜託(11)  託你(4)  託過(1)  託大(1)  託您(1)  託村(1)  託迪(1)  託殿(1)
0x00ff,拿,16,拿去(7)  快拿(4)  你拿(2)  拿通(2)  都拿(2)  拿到(2)  也拿(1)  個拿(1)  拿不(1)  拿一(1)
0x0102,書,7,的書(1)  書不(1)  藏書(1)  書要(1)  書籍(1)  代書(1)  書房(1)  是書(1)  古書(1)  看書(1)
0x0103,櫃,1,櫃檯(1)  到櫃(1)
0x0105,離,19,離開(14)  便離(2)  快離(2)  道離(1)  才離(1)  肯離(1)  離了(1)  撤離(1)  沒離(1)  緊離(1)
0x010d,究,8,研究(5)  究竟(2)  剛究(1)  究精(1)  究高(1)  究還(1)  終究(1)  你究(1)  究出(1)  究這(1)
0x010e,竟,9,竟然(4)  究竟(2)  竟是(1)  我竟(1)  你竟(1)  竟會(1)  到竟(1)  竟化(1)  竟不(1)  畢竟(1)
0x0112,教,9,請教(5)  教神(2)  教堂(2)  教你(1)  在教(1)  護教(1)  教您(1)  教占(1)  教我(1)  教他(1)
0x0114,答,9,報答(4)  答應(4)  答你(2)  答案(1)  到答(1)  答他(1)  是答(1)  不答(1)  我答(1)  易答(1)
0x0115,案,1,答案(1)
0x0118,聊,5,聊的(2)  無聊(2)  聊時(1)  閒聊(1)  聊天(1)  長聊(1)  像聊(1)
0x0119,哦,18,哦～(4)  錯哦(2)  備哦(1)  然哦(1)  氣哦(1)  帥哦(1)  害哦(1)  試哦(1)  棒哦(1)  熟哦(1)
0x011a,愛,20,愛斯(7)  愛的(2)  愛到(2)  喜愛(2)  愛女(1)  生愛(1)  愛玩(1)  哥愛(1)  可愛(1)  愛民(1)
0x011f,繼,7,繼承(4)  新繼(3)  繼續(2)  才繼(1)  以繼(1)  繼被(1)  相繼(1)  了繼(1)
0x0120,續,2,繼續(2)  續說(1)  續進(1)
0x0122,突,16,突然(14)  麼突(2)  衝突(2)  物突(1)  我突(1)  量突(1)  芒突(1)  子突(1)  發突(1)  太突(1)
0x0125,嚇,5,嚇哭(2)  你嚇(2)  嚇死(2)  嚇到(1)  常嚇(1)  是嚇(1)
0x0126,哭,2,哭了(2)  嚇哭(2)
0x0128,否,12,是否(6)  否則(4)  否有(2)  否可(2)  題否(1)  否真(1)  否容(1)  可否(1)  否發(1)  否還(1)
0x0129,則,6,否則(4)  則神(1)  則學(1)  官則(1)  則過(1)  則就(1)  則的(1)  原則(1)
0x012c,避,1,避難(1)  是避(1)
0x012d,襲,2,襲由(1)  奇襲(1)  吹襲(1)
0x012f,室,1,寢室(1)
0x0133,狀,6,形狀(2)  的狀(2)  狀態(2)  狀不(1)  狀況(1)  異狀(1)  戒狀(1)  狀的(1)
0x0134,態,3,狀態(2)  將態(1)
0x0135,系,3,系魔(2)  光系(2)  系的(1)  火系(1)
0x0136,統,15,統治(7)  統一(6)  的統(3)  有統(3)  所統(2)  統大(1)  一統(1)  量統(1)  他統(1)  新統(1)
0x013a,速,3,速度(2)  的速(1)  速增(1)  急速(1)  車速(1)
0x013b,度,9,進度(3)  速度(2)  度如(1)  度大(1)  度太(1)  度也(1)  強度(1)  度上(1)  程度(1)  度的(1)
0x013c,視,4,視神(2)  視遊(1)  電視(1)  視武(1)  重視(1)  茲視(1)  歧視(1)
0x013e,遊,4,遊戲(2)  遊樂(1)  視遊(1)  腦遊(1)  遊世(1)  旅遊(1)
0x013f,戲,2,遊戲(2)  戲該(1)
0x0141,樂,8,樂德(4)  哈樂(4)  樂什(1)  不樂(1)  樂器(1)  遊樂(1)  樂意(1)  常樂(1)  樂之(1)  快樂(1)
0x0142,效,5,效忠(4)  遠效(2)  特效(1)  定效(1)
0x014f,旁,5,旁邊(3)  旁的(2)  身旁(2)  床旁(1)
0x0151,附,5,歸附(3)  附近(2)  附於(2)  這附(1)  城附(1)  附艾(1)
0x0156,流,10,流的(2)  一流(2)  流下(2)  流到(1)  漂流(1)  流防(1)  輪流(1)  流浪(1)  處流(1)  化流(1)
0x015a,分,20,十分(6)  分人(3)  部分(3)  分裂(2)  分別(2)  分反(1)  分融(1)  分恐(1)  分貴(1)  不分(1)
0x015d,類,9,人類(5)  類似(1)  隻類(1)  類造(1)  類的(1)  之類(1)  類旅(1)  這類(1)  類新(1)  類出(1)
0x015e,似,9,似乎(5)  似的(2)  子似(2)  鍊似(1)  過似(1)  似怪(1)  類似(1)  寧似(1)  似無(1)  看似(1)
0x015f,深,5,深深(2)  深的(2)  我深(1)  深地(1)  高深(1)  極深(1)  深藍(1)
0x0162,迷,8,迷宮(5)  的迷(2)  座迷(2)  迷藏(1)  躲迷(1)  迷團(1)  個迷(1)  林迷(1)  迷路(1)  到迷(1)
0x0163,團,2,迷團(1)  團結(1)  的團(1)
0x0165,免,6,幸免(2)  免得(2)  免的(1)  難免(1)  免別(1)  以免(1)
0x0166,奇,16,奇怪(7)  也奇(2)  奇特(2)  奇珍(2)  購奇(2)  種奇(1)  奇異(1)  琳奇(1)  奇的(1)  神奇(1)
0x0167,異,5,異寶(2)  珍異(2)  異的(1)  奇異(1)  異狀(1)  有異(1)  異而(1)  差異(1)
0x016a,傳,15,傳說(8)  傳送(4)  在傳(2)  的傳(2)  傳遞(1)  間傳(1)  用傳(1)  了傳(1)  傳聞(1)  過傳(1)
0x016b,擁,5,擁有(5)  能擁(1)  中擁(1)  會擁(1)  是擁(1)
0x016c,允,2,允許(2)  的允(1)  王允(1)
0x016d,許,19,或許(6)  也許(6)  准許(3)  許能(3)  許不(3)  允許(2)  許你(2)  許賣(2)  許多(2)  許我(1)
0x016e,任,14,任務(7)  任何(4)  的任(4)  有任(3)  責任(3)  成任(1)  衛任(1)
0x0174,始,15,開始(15)  始準(2)  始連(2)  始使(1)  始管(1)  始會(1)  始蓋(1)  始我(1)  始燃(1)  始做(1)
0x0175,管,15,不管(3)  管了(2)  總管(2)  管治(2)  管制(1)  始管(1)  接管(1)  管他(1)  著管(1)  管理(1)
0x0176,制,6,制服(2)  控制(2)  制聖(1)  管制(1)  制怪(1)  抑制(1)  們制(1)  的制(1)
0x0178,祈,2,祈禱(2)  去祈(1)
0x0179,禱,2,祈禱(2)  禱時(1)
0x017a,Ｚ,2,
0x017b,牆,1,牆上(1)
0x017c,壁,3,隔壁(2)  壁畫(1)  的壁(1)  壁住(1)  壁樹(1)
0x017d,畫,2,畫是(1)  壁畫(1)  畫的(1)  所畫(1)
0x017e,百,7,百年(3)  一百(2)  百戰(1)  經百(1)  在百(1)  百病(1)  治百(1)  幾百(1)  百元(1)  三百(1)
0x0180,樓,1,樓梯(1)
0x0181,梯,1,梯上(1)  樓梯(1)
0x0184,令,17,命令(11)  下令(4)  令人(2)  令在(2)  令加(2)  得令(1)  令他(1)  令封(1)  的令(1)  令是(1)
0x0185,第,7,第一(5)  我第(2)  的第(1)  特第(1)  第二(1)  第三(1)
0x0189,臨,7,臨時(4)  是臨(2)  臨下(1)  高臨(1)  達臨(1)  為臨(1)  光臨(1)  臨了(1)  降臨(1)
0x018a,眺,1,眺望(1)  下眺(1)
0x018b,野,7,野心(4)  有野(2)  原野(1)  滿野(1)  野外(1)  及野(1)  野蠻(1)  個野(1)  的野(1)
0x018c,概,2,大概(2)  概是(1)  概知(1)
0x018d,與,8,與我(3)  與眾(2)  與當(1)  村與(1)  像與(1)  與你(1)  我與(1)  的與(1)  意與(1)  在與(1)
0x018f,獲,4,獲得(3)  能獲(2)  獲吧(1)  收獲(1)
0x0192,丁,16,奧丁(16)  丁王(4)  丁城(2)  丁呢(1)  丁國(1)  丁的(1)  丁就(1)  丁吧(1)
0x0194,試,8,試試(6)  要試(2)  試看(2)  他試(1)  試哦(1)  一試(1)  試過(1)  有試(1)
0x0195,調,13,調查(13)  前調(2)  做調(2)  人調(1)  經調(1)  坑調(1)  去調(1)  想調(1)  在調(1)  起調(1)
0x0196,查,14,調查(13)  查怪(6)  查過(1)  查吧(1)  查結(1)  查波(1)  探查(1)
0x0197,雖,14,雖然(11)  雖被(1)  人雖(1)  雖分(1)  石雖(1)  雖身(1)  斯雖(1)  下雖(1)  陸雖(1)  上雖(1)
0x0199,立,17,立刻(8)  我立(3)  立即(3)  立一(2)  在立(2)  立為(2)  自立(2)  琳立(1)  就立(1)  以立(1)
0x019a,刻,10,立刻(8)  刻叫(3)  刻前(2)  即刻(2)  刻去(1)  刻來(1)  刻派(1)  刻出(1)  刻命(1)
0x019c,雨,8,下雨(6)  雨天(1)  雨水(1)  和雨(1)  喚雨(1)  雨了(1)
0x019e,混,7,混了(2)  混亂(2)  混入(2)  曾混(2)  斯混(1)  混合(1)  水混(1)  來混(1)  勢混(1)  在混(1)
0x019f,合,12,適合(3)  合我(2)  符合(2)  聯合(2)  合落(1)  混合(1)  合居(1)  合步(1)  合起(1)  集合(1)
0x01a0,落,20,村落(6)  部落(5)  落的(3)  下落(3)  落間(3)  落下(1)  合落(1)  日落(1)  落石(1)  被落(1)
0x01a1,形,11,形成(4)  地形(3)  形狀(2)  而形(1)  形怎(1)  情形(1)  的形(1)  形相(1)  卻形(1)  形的(1)
0x01a3,綠,3,綠地(2)  有綠(1)  綠色(1)  們綠(1)  的綠(1)
0x01a5,急,10,急風(3)  急著(2)  正急(2)  急事(2)  有急(2)  急急(2)  的急(2)  麼急(1)  急速(1)  急忙(1)
0x01a7,復,14,恢復(5)  回復(3)  復生(2)  能復(2)  復活(2)  復這(1)  復斷(1)  修復(1)  復型(1)  用復(1)
0x01a8,斷,7,不斷(4)  斷橋(2)  斷地(2)  復斷(1)  斷了(1)  橋斷(1)  斷由(1)
0x01aa,岸,1,岸的(1)  對岸(1)
0x01ab,格,1,格雷(1)  的格(1)
0x01ad,絡,7,連絡(6)  聯絡(1)  絡就(1)  絡村(1)  絡問(1)  絡好(1)
0x01ae,座,17,這座(5)  座王(5)  一座(3)  那座(3)  座橋(2)  座迷(2)  五座(2)  四座(2)  座聯(1)  座蘭(1)
0x01b4,源,12,能源(7)  來源(3)  源嗎(1)  源的(1)  源可(1)  禍源(1)  源供(1)  資源(1)  源壓(1)  源桶(1)
0x01b5,興,13,高興(5)  興趣(3)  興建(2)  興的(1)  有興(1)  興了(1)  要興(1)  以興(1)  興喔(1)  掃興(1)
0x01b6,趣,4,興趣(3)  趣呢(1)  無趣(1)
0x01b7,啦,9,係啦(2)  有啦(1)  麼啦(1)  的啦(1)  錯啦(1)  以啦(1)  鍊啦(1)  來啦(1)
0x01ba,訴,13,告訴(13)  訴我(8)  訴你(4)  訴他(1)
0x01bb,豈,1,豈不(1)  那豈(1)
0x01bc,更,18,就更(3)  更是(3)  是更(2)  有更(2)  更加(2)  更方(2)  更發(2)  會更(2)  更糟(1)  更厲(1)
0x01bd,糟,6,糟了(4)  更糟(1)  糟糕(1)  真糟(1)  太糟(1)
0x01c1,傷,16,傷不(4)  傷的(3)  傷害(3)  傷了(3)  打傷(3)  受傷(2)  都傷(2)  傷痕(1)  個傷(1)  成傷(1)
0x01c3,伴,2,同伴(2)  伴吧(1)
0x01c4,留,11,留下(6)  留在(4)  們留(2)  能留(1)  好留(1)  留著(1)  上留(1)  只留(1)  獸留(1)  先留(1)
0x01c5,準,16,準備(16)  經準(3)  始準(2)  人準(2)  長準(2)  理準(1)  也準(1)  正準(1)  你準(1)  弓準(1)
0x01c6,血,2,血可(1)  到血(1)  血流(1)  破血(1)
0x01c7,昏,1,昏倒(1)  要昏(1)
0x01c8,晚,4,晚了(2)  來晚(2)  晚點(1)  近晚(1)  晚上(1)  是晚(1)
0x01c9,步,4,一步(2)  步應(1)  步隊(1)  合步(1)  步是(1)  徒步(1)
0x01ca,死,18,死了(3)  打死(2)  死不(2)  人死(2)  死在(2)  戰死(2)  死人(2)  嚇死(2)  經死(1)  殺死(1)
0x01cb,痕,2,傷痕(1)  痕跡(1)  的痕(1)
0x01ce,底,10,到底(8)  底是(4)  底怎(2)  底發(1)  底有(1)  徹底(1)  地底(1)
0x01cf,保,16,保護(6)  保衛(4)  是保(2)  要保(2)  保我(1)  難保(1)  保持(1)  請保(1)  保證(1)  都保(1)
0x01d0,付,3,對付(2)  付不(1)  應付(1)  付我(1)  付山(1)
0x01d2,鬥,3,鬥可(1)  戰鬥(1)  鬥的(1)  打鬥(1)  鬥志(1)  的鬥(1)
0x01d3,排,1,排成(1)  石排(1)
0x01da,驗,1,體驗(1)
0x01db,值,5,值錢(3)  不值(2)  值得(1)  這值(1)  是值(1)  值不(1)  得值(1)
0x01de,智,2,智也(1)  才智(1)  智者(1)  的智(1)
0x01e0,防,18,防具(7)  防衛(3)  的防(3)  防守(2)  買防(2)  要防(2)  軍防(1)  防範(1)  好防(1)  防身(1)
0x01e2,技,5,科技(2)  技的(2)  技軸(1)  技巧(1)  的技(1)  技真(1)  競技(1)  其技(1)
0x01e3,術,8,送術(4)  術救(1)  術復(1)  活術(1)  術一(1)  術之(1)  邪術(1)  術嗎(1)  醫術(1)  術可(1)
0x01e4,幸,9,不幸(3)  幸免(2)  一幸(2)  是幸(2)  幸的(2)  幸了(1)  幸能(1)  榮幸(1)  幸福(1)  幸好(1)
0x01e5,運,7,運氣(2)  好運(1)  走運(1)  是運(1)  的運(1)  運用(1)  次運(1)  運呀(1)  幸運(1)  運送(1)
0x01e6,體,20,身體(6)  體力(3)  體的(3)  實體(3)  體型(2)  員體(2)  屍體(2)  體驗(1)  體會(1)  能體(1)
0x01e7,況,11,情況(8)  況越(1)  況是(1)  況如(1)  狀況(1)  況下(1)  況我(1)  況且(1)  況說(1)  何況(1)
0x01e9,頻,3,頻繁(3)  沒頻(2)  太頻(1)
0x01ea,繁,5,頻繁(3)  繁星(1)  如繁(1)  繁了(1)  繁榮(1)  一繁(1)
0x01eb,嚴,3,嚴重(2)  麼嚴(1)  嚴密(1)  的嚴(1)  最嚴(1)
0x01ed,止,8,止盡(2)  無止(2)  停止(2)  止進(1)  禁止(1)  止不(1)  阻止(1)  止呀(1)  止了(1)  為止(1)
0x01ef,侵,2,入侵(1)  侵略(1)  隊侵(1)
0x01f2,程,5,工程(2)  程中(2)  旅程(1)  程的(1)  程度(1)  在程(1)  過程(1)
0x01f3,監,1,總監(1)
0x01f5,手,7,手不(1)  身手(1)  手鐲(1)  的手(1)  手呀(1)  住手(1)  手礙(1)  礙手(1)  手了(1)  到手(1)
0x01f6,輸,6,輸給(2)  會輸(2)  我輸(2)  輸送(2)  連輸(2)  輸的(1)  輸了(1)
0x01f8,宮,6,迷宮(5)  宮的(1)  皇宮(1)  宮相(1)  宮藏(1)
0x01f9,禁,5,禁衛(4)  的禁(1)  和禁(1)  禁止(1)  已禁(1)
0x01fc,取,10,取得(4)  抽取(3)  法取(1)  取它(1)  先取(1)  了取(1)  取出(1)  取邪(1)  取高(1)  收取(1)
0x01fd,跨,7,跨海(7)  為跨(2)  了跨(2)  道跨(1)  到跨(1)  座跨(1)
0x01fe,際,3,際的(3)  無際(2)  實際(1)
0x01ff,丑,1,小丑(1)
0x0200,功,10,武功(3)  成功(2)  功倍(1)  半功(1)  功績(1)  麼功(1)  功勞(1)  有功(1)  功而(1)  無功(1)
0x0201,績,1,功績(1)
0x0202,巴,20,巴瓦(14)  巴特(6)  軍巴(5)  和巴(1)  的巴(1)  是巴(1)  聽巴(1)  了巴(1)  找巴(1)
0x0204,房,11,房間(5)  人房(2)  們房(2)  牢房(2)  房還(1)  空房(1)  房也(1)  書房(1)  的房(1)  房舍(1)
0x0206,研,5,研究(5)  在研(2)  有研(1)  門研(1)  軍研(1)
0x020a,布,3,布啊(1)  尿布(1)  布德(1)  的布(1)  布在(1)  分布(1)
0x020b,草,13,藥草(5)  竹草(3)  草原(3)  草商(2)  草煮(2)  草樹(1)  花草(1)  草我(1)  種草(1)  草一(1)
0x020c,菜,1,菜都(1)  作菜(1)
0x020d,遜,1,遜的(1)  不遜(1)
0x020e,口,12,口氣(2)  的口(2)  出口(2)  口處(2)  凹口(2)  入口(2)  口上(1)  人口(1)  口定(1)  港口(1)
0x020f,味,2,味道(2)  的味(2)
0x0213,採,8,去採(3)  採能(2)  採藥(2)  窟採(2)  採建(1)  開採(1)  採石(1)  坑採(1)  採柴(1)  採的(1)
0x0217,信,15,相信(7)  封信(2)  信他(2)  信我(1)  信賴(1)  最信(1)  信使(1)  靠信(1)  的信(1)  信就(1)
0x0218,親,15,父親(5)  親眼(3)  親自(2)  會親(2)  的親(2)  親兄(1)  是親(1)  經親(1)  親身(1)  來親(1)
0x0219,眼,10,眼看(3)  親眼(3)  好眼(2)  眼前(1)  在眼(1)  眼睛(1)  的眼(1)  眼不(1)  一眼(1)  眼界(1)
0x021a,斧,1,斧把(1)  一斧(1)
0x021b,塊,3,一塊(2)  塊大(1)  塊空(1)  塊小(1)  有塊(1)
0x021c,劈,1,劈成(1)  石劈(1)
0x021d,半,5,半部(2)  西半(2)  半功(1)  事半(1)  兩半(1)  東半(1)  半邊(1)
0x0220,賴,1,賴的(1)  信賴(1)
0x0221,三,13,三十(3)  的三(2)  三天(2)  有三(2)  三樣(2)  三次(1)  殿三(1)  要三(1)  三個(1)  夜三(1)
0x0222,練,8,練拳(3)  在練(3)  練個(1)  再練(1)  練了(1)  是練(1)  會練(1)  想練(1)  練習(1)  練武(1)
0x0223,習,8,習慣(4)  學習(3)  都習(2)  習也(1)  習攻(1)  習回(1)  活習(1)  習劍(1)  練習(1)  是習(1)
0x0225,藝,2,武藝(2)  藝高(1)  藝和(1)
0x0226,場,9,場戰(6)  那場(6)  的場(2)  一場(1)  場景(1)  場地(1)
0x0227,指,4,是指(3)  指日(1)  就指(1)  指十(1)  指娜(1)  指這(1)
0x0228,導,6,導之(3)  引導(3)  領導(2)  導致(1)  才導(1)
0x0229,后,4,皇后(4)  后娘(2)
0x022a,娘,2,后娘(2)
